sequence,config,theta_deg,n_frames,ate_mean,time_s,peak_mb,ate_delta,speedup_x,vram_saved
corridor1,uniform-518px,,8,0.8329,4.04,9520.0,0.0,1.0,0.0
corridor1,imu-518px,5.0,8,0.6892,4.13,9520.0,-0.1437,0.98,0.0
corridor1,imu-224px,5.0,8,0.6892,0.63,6983.0,-0.1437,6.41,26.6
corridor1,uniform-518px,,8,0.8329,4.28,9520.0,0.0,0.94,0.0
corridor1,imu-518px,8.0,8,0.6892,4.39,9520.0,-0.1437,0.92,0.0
corridor1,imu-224px,8.0,8,0.6892,0.66,6983.0,-0.1437,6.12,26.6
corridor1,uniform-518px,,8,0.8329,4.23,9520.0,0.0,0.96,0.0
corridor1,imu-518px,12.0,8,0.6892,4.06,9520.0,-0.1437,1.0,0.0
corridor1,imu-224px,12.0,8,0.6892,0.61,6983.0,-0.1437,6.62,26.6
corridor1,uniform-518px,,8,0.8329,3.96,9520.0,0.0,1.02,0.0
corridor1,imu-518px,18.0,8,0.6892,3.9,9520.0,-0.1437,1.04,0.0
corridor1,imu-224px,18.0,8,0.6892,0.58,6983.0,-0.1437,6.97,26.6
room1,uniform-518px,,8,0.7573,3.94,9520.0,0.0,1.0,0.0
room1,imu-518px,5.0,8,0.659,3.65,9520.0,-0.0983,1.08,0.0
room1,imu-224px,5.0,8,0.659,0.56,6983.0,-0.0983,7.04,26.6
room1,uniform-518px,,8,0.7573,3.67,9520.0,0.0,1.07,0.0
room1,imu-518px,8.0,8,0.6906,3.7,9520.0,-0.0667,1.06,0.0
room1,imu-224px,8.0,8,0.6906,0.57,6983.0,-0.0667,6.91,26.6
room1,uniform-518px,,8,0.7573,3.79,9520.0,0.0,1.04,0.0
room1,imu-518px,12.0,8,0.7716,3.86,9520.0,0.0143,1.02,0.0
room1,imu-224px,12.0,8,0.7716,0.59,6983.0,0.0143,6.68,26.6
room1,uniform-518px,,8,0.7573,3.92,9520.0,0.0,1.01,0.0
room1,imu-518px,18.0,8,0.7716,4.01,9520.0,0.0143,0.98,0.0
room1,imu-224px,18.0,8,0.7716,0.62,6983.0,0.0143,6.35,26.6
room2,uniform-518px,,8,0.9685,4.0,9520.0,0.0,1.0,0.0
room2,imu-518px,5.0,8,0.7468,4.1,9520.0,-0.2217,0.98,0.0
room2,imu-224px,5.0,8,0.7468,0.64,6983.0,-0.2217,6.25,26.6
room2,uniform-518px,,8,0.9685,4.26,9520.0,0.0,0.94,0.0
room2,imu-518px,8.0,8,0.7468,4.37,9520.0,-0.2217,0.92,0.0
room2,imu-224px,8.0,8,0.7468,0.66,6983.0,-0.2217,6.06,26.6
room2,uniform-518px,,8,0.9685,4.29,9520.0,0.0,0.93,0.0
room2,imu-518px,12.0,8,0.7468,4.13,9520.0,-0.2217,0.97,0.0
room2,imu-224px,12.0,8,0.7468,0.61,6983.0,-0.2217,6.56,26.6
room2,uniform-518px,,8,0.9685,3.97,9520.0,0.0,1.01,0.0
room2,imu-518px,18.0,8,0.8722,3.93,9520.0,-0.0963,1.02,0.0
room2,imu-224px,18.0,8,0.8722,0.59,6983.0,-0.0963,6.78,26.6
slides1,uniform-518px,,8,1.1902,3.91,9520.0,0.0,1.0,0.0
slides1,imu-518px,5.0,8,1.1082,3.94,9520.0,-0.082,0.99,0.0
slides1,imu-224px,5.0,8,1.1082,0.6,6983.0,-0.082,6.52,26.6
slides1,uniform-518px,,8,1.1902,4.03,9520.0,0.0,0.97,0.0
slides1,imu-518px,8.0,8,1.3462,4.16,9520.0,0.156,0.94,0.0
slides1,imu-224px,8.0,8,1.3462,0.64,6983.0,0.156,6.11,26.6
slides1,uniform-518px,,8,1.1902,4.22,9520.0,0.0,0.93,0.0
slides1,imu-518px,12.0,8,1.3724,4.26,9520.0,0.1822,0.92,0.0
slides1,imu-224px,12.0,8,1.3724,0.64,6983.0,0.1822,6.11,26.6
slides1,uniform-518px,,8,1.1902,4.13,9520.0,0.0,0.95,0.0
slides1,imu-518px,18.0,8,1.2316,4.04,9520.0,0.0414,0.97,0.0
slides1,imu-224px,18.0,8,1.2316,0.61,6983.0,0.0414,6.41,26.6
